시퀀스,아파트코드,아파트명,주소(시도),주소(시군구),주소(읍면동),홈페이지,사용검사일,연면적,관리비부과면적,전체세대수,사용신청일,사용승인일,정보변경일,사용허가여부,일반인원,경비인원,청소인원,건설사,시행사,준공일자,건축면적,아파트평형,층수,주차대수,단지소개,아파트시설,음용수,전기안전관리자,전기안전관리방법,화재수신반유무,홈네트워크-주차관제시스템,기타메모,예산지출액,회계관리현태,화재수신반위치,엘리베이터,경비실CCTV카메라수,경비실CCTV모니터수,택비방식,경비예산 지출액,경비근무형태,경비근무시간,경비휴게시간,홈네트워그,아파트청소구역,지하주차대수,음식물처리방식,청소기타구역,청소 연간예산 지출액,청소근무시간,청소근무일자,청소일근무시간,청소세대당청소인원,청소방법,소독면적,소독구역,소독년횟수,소독 년 예산 지출액,소독약품,엘리베이터 수,엘리베이터 계약방식,엘리베이터 설치년도 운행,엘리베이터 종류,엘리베이터 운행층,엘리베이터 관리형태,엘리베이터 년 예산지출,엘리베이터 수리비,엘리베이터 월수리건수,하자보수진행상태,수선유지충당금부고방식,수선유지충당금,수선유지충당메인 항목,수선유지대체금,전체동수,전화번호,팩스번호,급수시설,주소(나머지),아파트고유번호,우편번호,좌표X,좌표Y,관리사번호,주소(도로명),주소(도로 상세주소),법정동주소,단지분류,도로명주소,전용면적별 세대현황1,전용면적별 세대현황2,85_135이하,135초과,최초등록일자,최종등록일자,주거전용면적
286,A15288802,신도림대림3차,서울,구로구,신도림동,,2001-09-20 00:00:00.0,31420,25022,204,2013-03-07 09:46:32.0,2013-06-23 11:29:21.0,2013-06-23 11:29:21.0,Y,2,4,2,대림산업,대림산업,2001-09-01 00:00:00.0,1524.80,84.51|,22층|,260,,놀이터.노인정,982,선임,자치,경비실관리,주차출입차단기,정화조관리,300028630,전산,,,,,,166229190,격일,,,,,,,,126005000,,,,,,123090,,12회,9865950,,28,,,,,,14560000,0,,,충당금,43698000,,0,21,02-979-8050,02-3296-0705,부스터방식 고가수조,태강아파트,210-82-61726,01820,127.0832445,37.6236377,907-00-32085-1,공릉로34길,38,서울특별시 노원구 공릉동 81 공릉태강,아파트,서울특별시 노원구 공릉로34길 62,1676,0,0,,,2019-05-20 02:00:00.0,88107.16
397,A13813004,가락상아1차,서울,송파구,오금동,가락상아1차.apti.co.kr,1984-12-12 00:00:00.0,44893,27177,226,2013-03-07 09:46:35.0,2013-05-20 13:08:33.0,2013-05-20 13:08:33.0,Y,5,6,3,동성건설,동성건설,1984-12-01 00:00:00.0,0.00,,11|12,260,,"놀이터,주차장",800,선임,직영,관리,,,111246840,전산,"관리실,전기실",유,48대,"놀이터,주차장,엘리베이터등",,0,격일제,17시간,"주간:12:30~13:30,18:00~19:30         야간:00:30~02:30, 03:00~05:00",유,"관리동,각동",,,,0,5시간,,,,,28965,도포식,"년4회, 매월 추가소독",0,"맥스포스,마툴키등",12대,년간,5년,로프식,"1,2층 제외",,0,0,,,"수선유지비,수선유지충당금",0,"정화조관리,저수조관리등",0,3,029303443,930-3447,부스터방식,"(상계동,우림루미아트)",217-82-60602,01630,127.0561567,37.6745959,217-82-60602-0,동일로230가길,71,"서울특별시 노원구 상계동 1306,1307 우림루미아트1.2단지",아파트,서울특별시 노원구 동일로230가길 71,0,248,27,,,2019-05-20 02:14:02.0,23940.946
33,A15288801,신도림우성5차,서울,구로구,신도림동,,1994-12-15 00:00:00.0,16328,14776,154,2013-03-07 09:47:04.0,2014-12-10 13:12:17.0,2014-12-10 13:12:17.0,Y,5,4,1,우성건설(주),우성건설(주),,0.00,,11,136,,"놀이터,노인정,관리소,",105,비선임,대행위탁,"화재수신반(관리, 비관리), 승강기비상호출(관리, 비관리), CCTV 야간당직자(관리, 비관리)",,,181984340,전산,관리소,유,10,"놀이터, 주차장, 엘레베이터, 관리소",유,186000000,"교대(1,2,3)","07시~19시 ( 12시간)- 주간2일 근무후 1일휴일,야간2일 근무후 1일 휴일","주간: 12시~ 13시( 1시간), 야간: 23시~ 24시(1시간)",유," 52층 4라인, 49층 3라인, 48층 3라인,  단지내외곽.지하주차장.","수량: 10개, 면적: 22532.5㎡",6개소 6회/주,"외곽청소, 대청소, 논슬립, 재활용",52800000,"평일: 09시~16시 ( 6시간), 토: 09시~ 12시(3시간)",,주간: 12시~13시 ( 1시간),( 69세대/명),복도 물걸레( 3회/주),31922,"연막, 분무, 독먹이식 : 세대, 계단, 지하, 주차장","세대: 4회/년, 수목: 4회/년, 기타: 회/년",3103200,,10,전체(FM),(2007)년도 설치 (3)연간 운행,로프식,전층운행,"쉬브/로브( 년), 카( 년), 권상기( 년), 전기제어반( 년), 브레이커( 년), 완충기( 년), 균형추( 년), 안전장치( 년), 전면교체( 년)",13860000,2365000,건/월,"(1,2,3,4,5,10 년차 진행 / 1,2,3,4,5,10 년차 종결)",수선유지비(매월부과),42304474,"건축, 설비, 전기, 소방, 통신, 조경",0,8,02-545-5512,02-545-5613,부스터방식,7-3,1208007920,135090,127.0434525,37.5161514,90700344931,선릉로130길,20,서울특별시 강남구 삼성동 7-3 삼성래미안2차,아파트,서울특별시 강남구 선릉로130길 20,0,46,196,,,2019-05-20 07:07:09.0,31921.68
1263,A13522003,수서삼익,서울,강남구,수서동,,1992-10-28 00:00:00.0,57521,57521,645,2013-03-07 09:46:16.0,2013-06-23 14:23:34.0,2013-06-23 14:23:34.0,Y,7,10,4,삼익건설,도시개발,1992-10-01 00:00:00.0,4243.00,22|26|35,1|15,650,"



","놀이터,노인정,관리사무소",250,비상주,전기안전대행업체위탁,관리,무,,0,전산,관리사무소,유,90,"관리사무소, 경비초소",,0,격일제,,,유,"건물내부, 지하주차장",,,,0,9시~4시,,1시간,,"복도, 주차장",51829,,,0,,7대,,,,전층운행,,0,0,,,,0,,0,4,02-566-2220,02-3452-3764,부스터방식,대치포스코더샵아파트,120-80-05524,06195,127.0571385,37.504007,90700072191,삼성로,417,서울특별시 강남구 대치동 902 대치포스코더샵,아파트,서울특별시 강남구 삼성로 417,0,0,0,,,2019-05-20 07:09:24.0,41857.92
653,A13813007,오금아남,서울,송파구,오금동,,1992-09-04 00:00:00.0,28198,27604,299,2013-03-07 09:46:54.0,2016-04-22 15:01:29.0,2016-04-22 15:01:29.0,Y,12,4,3,아남건설,아남건설,1992-09-01 00:00:00.0,1894.00,59.01|70.80|96.80|114.74,15|,165,,"놀이터,노인정,관리사무소",250,,대행,관리,무,,160387430,전산,관리소,유,128,"놀이터,주차장,엘리베이터,단지 내부도로,동1층및 주차장입출구,산책로등",무,141120000,격일제,07시부터 익일07시까지,"점심1시간, 저녁1시간, 야간1시간",유,층12 라인,지하주차장 연1회 대청소,2개소 1회/1주,외곽청소. 지하주차장청소,45160000,09시부터 03시까지,,점심1시간,69세대/ 1명,복도 물걸레,42138,연막. 분무. 독먹이식: 세대.계단.지하.주차장,12회,3600000,"겔도포식, 분무식",12대,위탁,3년,로프식,전층운행,"쉬브/로브( 3년), 카( 3년), 전기제어반( 3년), 브레이커( 3년), 완충기( 3년), 균형추( 3년), 안전장치( 3년), 전면교체( 3년)",19152000,1583000,2회,,수선유지비,8757930,,0,8,02-2653-4359,02-2653-4360,부스터방식,이편한세상,117-82-63385,07976,126.8711933,37.5394083,90700028931,목동중앙로7길,32,서울특별시 양천구 목동 950 목동e-편한세상,아파트,서울특별시 양천구 목동중앙로7길 32,0,54,166,,,2019-05-20 03:49:51.0,35724.28
159,A14319301,자양현대6차,서울,광진구,자양3동,,1999-02-03 00:00:00.0,23330,18061,178,2013-03-07 09:46:28.0,2013-05-03 10:59:18.0,2013-05-03 10:59:18.0,Y,3,3,2,현대건설(주),현대건설(주),1999-02-01 00:00:00.0,1256.64,85.38|112.06|141.08,19|,195,,"놀이터,노인정,관리사무소",650,무,용역,유,,,0,전산,관리사무실,무,무,,택배수령및발송,0,격일,24시간,일 7.5시간,유,건물내부,지하주차장 2개,"쓰레기통3개, 주1회수거",,0,일 8시간,,일 1시간,276세대/1인,,0,"독이법, 과립, 분무법",4회,0,"맥스포스겔,탑베이트,잡스,퍼머그린",3대,,5년간운행,로프식,"1대:짝수층, 1대:홀수층, 1대:전층",,0,421740,,"1,2,3년차 종결",수선유지비(매월 정산),0,"건축, 전기, 소방",0,1,02-914-4003,02-914-4007,부스터,1281-1번지,209-80-04473,136110,127.0178235,37.6128244,907-00-279241,길음로,118,서울특별시 성북구 길음동 1281-1 길음뉴타운4단지임대,아파트,서울특별시 성북구 길음로 118,276,0,0,,,2019-05-20 01:08:25.0,8321.4
1337,A13550502,도곡삼성래미안,서울,강남구,도곡2동,dgrma.aptner.co.kr,2001-12-01 00:00:00.0,126761,94472,732,2013-03-07 09:46:24.0,2016-12-29 11:54:38.0,2016-12-29 11:54:38.0,Y,9,14,8,(주)삼성물산,(주)삼성물산,,5739.00,,24층,1122,,"놀이터,노인정, 문고, 보육시설,주민운동시설등",,선임,안전관리자 선입,격일제 근무자 2명,주차관리 시스템 유,,0,,,,,,,0,,,,,,,,,0,,,,,,0,,,0,,6,,,,,,0,0,,,,0,,0,3,02-308-9854,02-308-9855,,415-4,110-80-01647,122872,126.9013422,37.5863961,0000000,은평터널로,66,서울특별시 은평구 수색동 415-4 수색대림한숲타운제2,아파트,서울특별시 은평구 은평터널로 66,464,0,0,,,2019-05-20 02:36:36.0,15209.92
221,A13922002,진로유통조합대림,서울,노원구,중계동,,1992-06-12 00:00:00.0,20255,19467,192,2013-03-07 09:46:20.0,2016-04-25 17:44:10.0,2016-04-25 17:44:10.0,Y,2,4,2,대림건설,진로직장주택조합,,0.00,,13|,164,"



","놀이터,노인정",136,선임,안전관리대행,관리,무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,02-2644-0460,02-2644-0563,,337-2,,158077,126.865232,37.5062043,,목동남로4길,6-46,서울특별시 양천구 신정동 337-2 목동2차우성임대,아파트,서울특별시 양천구 목동남로4길 6-46,1140,0,0,,,2019-05-20 03:47:07.0,37346.4
575,A13186905,신내라이프미성,서울,중랑구,신내1동,,1992-04-24 00:00:00.0,26167,25565,277,2013-03-07 09:46:16.0,2013-06-21 17:45:33.0,2013-06-21 17:45:33.0,Y,3,4,2,라이프건설,라이프건설,1992-04-01 00:00:00.0,2396.91,,12|,234,,"놀이터,노인정",388,법정선임,전기안전대행업체위탁,관리,무,,0,,,,,,,0,,,,,,,,,0,,,,,,0,,,0,,42,,,,,,0,0,,,,0,,0,16,02-2643-8093,02-2643-8096,,276번지,117-80-00940,158077,126.8632848,37.5099235,90900355421,목동로3길,57,서울특별시 양천구 신정동 276 신정양천,아파트,서울특별시 양천구 목동로3길 41,2995,0,0,,,2019-05-20 03:37:09.0,108148.38
448,A13980903,상계성림(미라보),서울,노원구,상계동,,2006-06-08 00:00:00.0,23042,23042,240,2013-03-07 09:46:21.0,2015-01-23 17:12:12.0,2015-01-23 17:12:12.0,Y,4,4,2,성림산업(주),성림산업(주),,0.00,,20층,194,,"놀이터,노인정",920,비상주,전기안전대행업체위탁,관리,무,,80442760,(주)백경인포시스템,경비실내부,있음,,"승강기내,승강기입구,어린이놀이터,지하주차장",없음,35985870,24시간 교대,,,있음,,,음식물수거통에 각자 투입,,11343930,"월-금  6시간/일, 토 3시간/일",,월-금  1시간/일,,,1642407,,"실내4,실외2,수목,구서 등6회",2160000,,3,승강기유지보수계약,11년,"8인승,15인승,24인승",B2-18층,"메인쉬브, 와이어로프교체",2574000,439560,,,,13798950,"정화조청소비,물탱크청소비,보일러세관공사비,보일러청관제구입비,가스전기검사비등",0,1,02-486-7213,02-486-7214,있음,566,212-80-02428,134023,127.130007,37.5381545,212-80-02428-0,천호대로163길,21-10,서울특별시 강동구 천호동 566 천호태영임대,아파트,서울특별시 강동구 천호대로 1055,264,0,0,,,2019-05-20 08:12:54.0,8648.64
1119,A13980509,공릉삼익4단지,서울,노원구,공릉동,,1994-12-07 00:00:00.0,38318,37154,525,2013-03-07 09:46:27.0,2018-09-19 16:59:13.0,2018-09-19 16:59:13.0,Y,5,8,4,도시개발공사,도시개발공사,,0.00,,15층,250,,"놀이터,노인정",250,선임,선임,근무,없음,없음,0,,,,,,,0,,,,,,,,,0,,,,,,0,,,0,,8,,,,,,0,0,,,,0,,0,4,02-2603-0542,02-2692-7943,,1258,117-80-04214,158073,126.852873,37.5132996,11780042140,신정로,275,서울특별시 양천구 신정동 1258 신트리2단지,아파트,서울특별시 양천구 신정로 275,698,0,0,,,2019-05-20 03:45:29.0,25449.2
1460,A15781002,가양9-1,서울,강서구,가양3동,가양9-1단지.ma-um.co.kr,1992-11-18 00:00:00.0,53888,53888,914,2013-03-07 09:46:24.0,2013-06-23 10:49:18.0,2013-06-23 10:49:18.0,Y,7,10,5,SH공사,일성건설,,3972.24,49.63|57.06|71.33,15층|,254,"



","놀이터,노인정",,,,,,,370332480,전산,방재실,유,,"지하주차장, 엘리베이터",유,163101720,격일제,24시간,8시간,유,"비상계단, 승강기내부, 놀이방, 휴게소, 화장실 등",매일청소,음식물 쓰레기통 물청소,,139975800,8시간,,1시간,1개동,청소구역 매일1회 물청소,44414,"독이법 Gel작업 및 분무소독(살충, 살균)",12회,4800000,"크린베이드, 개미약",8대,OM-Gold,2004년 상시운행,로프식,전층운행,,26400000,0,,5년차,수선유지비(매월부과),54379000,"전기, 정화조외",0,3,02-795-7461,02-795-7463,부스터방식,72-1,106-80-06769,140-21,127.0079791,37.5345031,21188125360,한남대로,60,서울특별시 용산구 한남동 72-1 한남동리첸시아,주상복합,서울특별시 용산구 한남대로 60,183,170,18,,,2019-05-19 23:30:54.0,21651.61
69,A13508001,역삼휴먼터치빌,서울,강남구,역삼동,www.humantouch.co.kr,1999-06-19 00:00:00.0,12415,9807,160,2013-03-07 09:46:55.0,2017-02-16 15:24:47.0,2017-02-16 15:24:47.0,Y,5,4,3,현대산업개발,현대산업개발,,0.00,,18,123,,"놀이터,관리사무소,헬스장",300,선임,자체선임,유,주차관제유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,027046112,027046113,,마포래미안리버웰,A12187501,121876,126.9413984,37.5434350,,,,서울특별시 마포구 용강동 502 래미안마포리버웰,아파트,서울특별시 마포구 토정로31길 23,138,344,81,,,2019-05-20 03:20:20.0,44905.51
80,A13880602,가락우성2차아파트,서울,송파구,가락본동,,2000-06-14 00:00:00.0,20701,19537,162,2013-03-07 09:46:56.0,2013-05-22 16:58:14.0,2013-05-22 16:58:14.0,Y,4,2,2,우성건설,가락동조합아파트,,0.00,,20,156,,"놀이터,관리사무소,노인정,경비실,주차시설",550,미선임,위탁,유,,,0,,경비초소,유,4개,승강기 및 지하주차장,무,0,격일 교대 근무,18.5시간,5.5시간,유,각동 및 부대시설,,구청대행,,0,6시간,,1시간,,일근,34318,세대방문,4회,0,,14대,외주 관리,5년,15인승,전층,,0,0,2회,,,0,"저수조,정화조,승강기,자동문 기타",0,6,02-2661-7580,02-2661-7581,직수방식,579번지,1098263439,157220,126.8133457,37.5714296,10982634390,양천로24가길,59,서울특별시 강서구 방화동 579 방화한진로즈힐,아파트,서울특별시 강서구 양천로24가길 59,121,233,0,,,2019-05-20 04:29:00.0,27022.11
430,A15809402,신월삼정그린뷰,서울,양천구,신월4동,khmais.net,2005-12-28 00:00:00.0,23196,23196,236,2013-03-07 09:46:33.0,2016-12-15 10:47:51.0,2016-12-15 10:47:51.0,Y,3,2,2,한강연립재건축조합,신나래토건,,0.00,,15층,253,,"놀이터,관리동,노인정,우편함,휴지통,휴게소,공중전화,공동시청 ANT,피뢰침,폐기물보관시설",1100,선임 안함,대행위탁,관리,유,"승강기관리, 조경관리",0,전산,,,7개,,택배수령,0,격일제,,"주간:2시간, 야간:2시간",,,,,,43080000,,,,,,0,,,4188000,,9,,11년,로프식,,,6480000,1378080,,10년차 진행중,매월부과,0,,0,3,02-303-7223,02-375-5375,부스터방식,244,110-80-00615,122941,126.9029992,37.5818742,11080006150,증산로3길,26-1,서울특별시 은평구 증산동 244 증산우방,아파트,서울특별시 은평구 증산로3길 26-1,184,165,80,,,2019-05-20 02:48:30.0,34239.58
580,A15882010,목동삼익,서울,양천구,목동,,1997-06-28 00:00:00.0,48913,31031,277,2013-03-07 09:46:16.0,2018-11-19 16:08:21.0,2018-11-19 16:08:21.0,Y,4,6,3,삼익건설,삼익주택목동상 재건축조합,,0.00,,21층,263,,"놀이터,경로당,체력단련실",1050,,용역,,,,0,경리직원 1명,경비실,,,,,0,격일제,06:00-익일06:00,,,"층계 논스립,  재활용품정리",,,,0,,,,,마른걸례,38674,"독이법, 분무식",실내 연4회.수목 7회. 구서 4회,0,,9,,17,,,,0,0,,,,0,,0,3,02-446-5274,02-446-0946,고가수조,546-7,206-82-61256,143-20,127.0933387,37.5358159,20682612560,구의강변로,42,서울특별시 광진구 구의동 546-7 구의강변우성,아파트,서울특별시 광진구 구의강변로 42,0,354,0,,,2019-05-19 23:58:30.0,30005.04
461,A12188202,창전현대홈타운,서울,마포구,창전동,https://창전홈타운.apti.co.kr/aptHome/intro.asp,2005-08-18 00:00:00.0,31535,23578,243,2013-03-07 09:46:21.0,2013-06-23 15:23:47.0,2013-06-23 15:23:47.0,Y,4,4,3,현대건설(주),창전동지역주택조합,2005-08-01 00:00:00.0,1352.70,77.72|105.82,18|22,246,,"놀이터,경로당,관리사무소,휴게시설",900,선임,위탁대행,관리,유,,218037970,전산,전기실,유,12대,"주차장, 주차진출입구, 자전거보관소, 승강기내부, 놀이터, 단지 옥상 ",택배수령,131051700,2교대,격일근무제 (06:00~익일06:00),"중석식 포함 주간2.5시간, 심야 2.5시간",유,"건물내부(복도, 계단), 지하주차장, 옥상, 건물외부, 화단, 대청소","수량: 2 개, 면적: 14,476,87㎡",5개소 3회/주,,74551004,"평일 09:00~15:30, 토요일 09:00~12:00(일요일, 법정공휴일 휴무)",,평일:12:00~13:00,( 90세대/명),,58610,"실내소독 : 점도포식, 저농도분무법, 분사식, 부착식  실외소독 : 가열연막소목,구서작업: 급.만성살서법, 수목소독 : 동력분무소독","세대 : 4회/년,수목소독: 연중",4077500,,18대,종합계약(FM),"2003년 설치 운행,7년간 운행",로프식,전층 운행,,2462130,2462130,,"3,5년차 하자 진행",수선충당금(연간분할부과-예산제),21594694,"건축, 설비, 전기, 소방, 통신, 조경",0,9,02-305-9757,02-305-9758,고가수조방식,1643번지,1058271640,121270,126.8896983,37.5727883,90900576521,매봉산로,8,서울특별시 마포구 상암동 1643 상암월드컵파크3단지,아파트,서울특별시 마포구 월드컵로 338,0,540,0,,,2019-05-20 03:34:34.0,45841.2
1304,A13203408,쌍문금호1차아파트,서울,도봉구,쌍문4동,,1990-09-24 00:00:00.0,56669,55130,690,2013-03-07 09:46:26.0,2018-04-16 14:46:20.0,2018-04-16 14:46:20.0,Y,7,12,6,금호건설,금호건설,,0.00,,15층,337,,"놀이터, 중앙공원, 경로당, 관리사무소, 기전실 등",1400,필수,선임,관리,무,,208407050,한국전산,관리사무실,가능,4개,"지하주차장,어린이놀이터,승강기",,92400000,격일제,20시간,4시간,가능,"계단,승강기,옥외",청소함,청소함,,59856760,6시간,,2시간,3라인 일부공동구역,매일,132,"살균,살충",12회,5436600,롱다운유제 등,21대,년간계약,7년,비상/장애인용/로프식VVVF,지하2층~ 지상23층,"로프.쉬브,마그네트 교체",17556000,2886840,12건,소송중,발생시 수시부과,44180480,"법정검사비,정화조,저수조청소관리비,수시발생분",0,9,02-921-3812,02-921-3813,부스터방식,633,209-82-62180,136813,127.0264895,37.6024287,907-00-32088-1,정릉로,388,서울특별시 성북구 돈암동 633 돈암동부센트레빌,아파트,서울특별시 성북구 정릉로 388,0,398,142,,,2019-05-20 00:55:35.0,48580.22
283,A14319005,자양한강현대,서울,광진구,자양동,,1993-11-20 00:00:00.0,24323,24323,204,2013-03-07 09:46:31.0,2013-06-11 16:38:28.0,2013-06-11 16:38:28.0,Y,4,2,2,고려산업개발(주),한마음지역연합주택,1993-11-01 00:00:00.0,25140.25,119.23,19층|22,188,,"놀이터, 주차장, 관리사무소",575,비상주,위탁,유,,,0,전산,라인별 초소 내,유,60개,"승강기내, 현관입구,지하주차장",무,0,격일제,24시간,없음,유,18개 라인,"3개소:6,012.88","14개, 주2회","외곽청소,재활용",0,"평일09:00-16:00, 토09:00-12:00",,,108세대/1명,복도물걸레등,58034,"연막,분무등:세대,지하주차장,화단등","세대:4회/년,수목.연막:7회/년등",0,,18대,종합계약(FM),"1992년도 설치, 17년간 운행",로프식,"1,2층제외운행","버튼,로프,쉬브",0,1960200,5건/월,"(1,2,3,4,5,10 년차 종결)",수선유지비(매월부과 및 분할부과),0,"건축,설비,전기,소방,통신,승강기",0,7,02-532-0556,02-595-0556,부스터방식,56-3번지,1148001367,137907,127.0108543,37.5159339,1148260211,잠원로,148,서울특별시 서초구 잠원동 56-3 잠원한신,아파트,서울특별시 서초구 잠원로 150,0,540,0,,,2019-05-20 06:29:53.0,45640.8
344,A15005602,신길우창,서울,영등포구,신길6동,,1983-08-17 00:00:00.0,18782,18782,214,2013-03-07 09:46:21.0,2013-06-23 12:03:17.0,2013-06-23 12:03:17.0,Y,,4,1,우창건설(주),우창건설,,0.00,,12,0,,"놀이터, 어르신쉼터",,,,무,무,,133653488,정산제,"관리실,경비실",여,"관리실3, 정문 경비실3","지하 1,2층 주차장, 지상 (총 45대)",정문경비실 지원,52560000,격일제,06:00~익일06:00(24시간중 19시간),5,정문 경비실,"전동 계단, 복도 등",,별도 위탁,부대시설 등,45360000,09:00~16:00(6시간),,1시간30분,,"바닥 물걸레, 신주 왁스",39145,"분무, 도포 외","정기 4회, 추가 8회, 수목 다수 ",2815700,"파머스린, 맥스포스겔, 잡스..",7,일반계약,10년,로프식,전층,,8641380,1249380,,,정산제,21322050,,0,5,02-835-7655,02-6747-7677,고가수조방식,67-1,118-08-00962,150837,126.9183651,37.5158124,613-82-75939,영등포로65길,3,서울특별시 영등포구 신길동 67-1 신길경남,아파트,서울특별시 영등포구 영등포로 351,165,121,82,,,2019-05-20 05:34:11.0,29601.1
828,A12208105,신사현대2차,서울,은평구,신사1동,,1994-04-23 00:00:00.0,44651,42708,380,2013-03-07 09:46:44.0,2013-06-23 15:16:25.0,2013-06-23 15:16:25.0,Y,4,6,3,현대건설,현대건설,,0.00,,19층,246,,"놀이터, 보육시설(개인), 관리사무소, 경로당, 경비실, 입주자대표회의실,주차장 등",950,대행기관대행,대행기관대행,경비 및 야간당직자관리,,,0,전산,동별,유,22,"주차장, 엘레베이터",,0,격일제,06:00~익일06:00,야간3시간 주간 2시간 ,유,지하3 층~15층 전체라인,"수량: 3개, 면적:6710.32 ㎡",,"외곽청소, 대청소, 재활용",0,"평일:08 ~13 (6 시간), 토:08 ~12 (4시간)",,주간 1시간,,복도 물걸레( 12회/주),0,,,0,,2,,,,,,0,0,,,,0,,0,1,02-582-8824,02-582-8864,부스터방식,풍림아이원플러스,214-80-03971,06628,127.029525,37.4903649,907-00-06887-1,효령로77길,14,서울특별시 서초구 서초동 1338-1 풍림아이원플러스,주상복합,서울특별시 서초구 효령로77길 14,200,0,0,,,2019-05-20 06:40:06.0,6910.2544
680,A14003004,이촌동부센트레빌,서울,용산구,이촌동,,2001-06-02 00:00:00.0,53804,40360,309,2013-03-07 09:46:57.0,2018-08-07 15:12:23.0,2018-08-07 15:12:23.0,Y,19,10,4,동부건설,동부건설,,0.00,,25층,427,,"놀이터, 독서실, 휘트니스센터",,법정선임,법정선임관리자가 관리,야간당직자 관리,,,564158895,전산,관리소,유,40개,"지하주차장,승강기,현관입구,정후문입구, 놀이터",유,427440000,격일제교대(2),24시간 교대,5시간(주간2.5시간/야간2.5시간),유,지하3층 - 17층 - 22층 3개라인,,30개소 6회/주,"외곽청소,지하주차장,대청소,논슬립,분수대",291283560,"평일 09:00-16:00, 토요일 09:00-12:00",,평일12:00-13:00(1시간),3개라인(120세대/명),"지하주차장기계청소,계단물청소",255670,분무/부착,"세대:4회/년, 수목:7회/년(별도)",11412000,퍼머그린/맥스포스겔/잡스,46대,단순계약,(2004)년도설치(2005)년도연간운행,로프식,전층운행,쉬브,50185080,7025040,,5년차 진행,수선유지충당금(년간분할부과)수선유지비(매월부과),12641950,"전기,설비,건축,소방,통신",0,31,02-402-4023,02-449-5878,부스터방식,1,215-82-08202,13820,127.130255,37.4908501,90700297101,문정로,83,서울특별시 송파구 문정동 1 문정래미안,아파트,서울특별시 송파구 문정로 83,0,342,966,,,2019-05-20 07:46:31.0,211278.78
1583,A13813010,오금현대아파트,서울,송파구,오금동,,1984-12-26 00:00:00.0,202978,196193,1316,2013-03-07 09:46:39.0,2015-11-02 10:14:47.0,2015-11-02 10:14:47.0,Y,72,52,17,현대산업개발(주),현대산업개발(주),1984-12-01 00:00:00.0,14638.71,103.325|154.286|159.011|195.844,1|14,1753,,"놀이터, 노인정, 휴게소, 관리소, 공동화장실, 경비초소, 테니스장, 운동장 등",3200,관리,상주,관리,무,무,0,예산제,상황실,호출가능,12대,승강기. 계단. 놀이터. 지하주차장,경비초소 경유,0,24시간 맞교대,07시-익일 07시,주간  2시간. 야간 3시간,응답가능,주거동(라인별),지하주차장 5개소,,외곽,0,09시- 16시30분,,,3개라인,비질. 걸레질,192133,도포식. 분무식,정기소독 4회,0,,34대,용역,9년,로프식,,메인로프. 시브 교체중,0,0,,5년차 하자종결,수선유지비. 수선보수충당금,0,승강기보수비. 보일러세관. 자동문 부품교체,0,7,02-812-0322,02-812-2133,부스타 방식,325,108-82-61200,156051,126.9439718,37.5075289,907-00-08130-1,만양로,19,서울특별시 동작구 노량진동 325 신동아리버파크,아파트,서울특별시 동작구 만양로 19,386,786,524,,,2019-05-20 05:42:45.0,149877.5
1405,A15288810,신도림동아3차,서울,구로구,신도림동,,2000-11-14 00:00:00.0,124839,93851,813,2013-03-07 09:46:31.0,2015-12-23 17:42:10.0,2015-12-23 17:42:10.0,Y,7,14,7,동아건설산업,조흥화학,2000-11-01 00:00:00.0,5103.82,81.638|108.7777|137.1507|167.969|199.3437,27|,1064,,"놀이터, 노인정, 체력단련장.  지하주차장, ",2950,선임,상주,관리,무,,0,전산,,,,,,0,격일제,,,,공용면젹과 부대및 복리시설의 공용부분,,,,0,,,,,,189865,점도포식,"실내소독:3개월1회, 매월추가소독",0,,39대,,,,,,0,0,,,,0,,0,20,02-6213-6301,02-6213-4309,,633,206-80-01249,133801,127.0271242,37.551862,,금호로,100,서울특별시 성동구 금호동1가 633 금호벽산,아파트,서울특별시 성동구 금호로 100,507,702,498,,,2019-05-19 23:44:04.0,146968.8
